instance=HRC102, CXPB1=0.5, MUTPB1=0.2, MUTPB2=0.2
Algorithm took 23.72s

gen, min, max, mean, std
341, 8110.37999, 9391.40694, 8270.42296, 255.67230
342, 8110.37999, 9520.87095, 8307.92401, 296.76589
343, 8110.37999, 53312.16096, 8770.50685, 4487.57311
344, 8110.37999, 9748.05895, 8331.56166, 326.88445
345, 8110.37999, 164976.07472, 9907.56223, 15588.75692
346, 8110.37999, 164658.15051, 9872.54439, 15559.57696
347, 8110.37999, 49618.77299, 8679.59184, 4120.13864
348, 8110.37999, 9465.86220, 8333.17040, 325.87591
349, 8091.40228, 9331.94385, 8262.81303, 240.86961
350, 8091.40228, 9327.85283, 8262.60625, 227.25479
351, 8091.40228, 9691.28920, 8310.51876, 313.76419
352, 8091.40228, 9403.10402, 8277.37722, 254.69212
353, 8091.40228, 9416.84708, 8315.94007, 297.66657
354, 8091.40228, 99831.25816, 9194.56990, 9112.95738
355, 8077.61799, 9887.62919, 8265.24275, 283.43881
356, 8091.40228, 9138.09084, 8241.00954, 234.13491
357, 8091.40228, 9715.21277, 8231.13481, 296.85095
358, 8091.40228, 9656.14140, 8284.47555, 322.95999
359, 8074.74264, 9138.09084, 8207.51360, 199.85570
360, 8074.74264, 135163.61334, 9530.15357, 12629.63203
361, 8074.74264, 9381.65810, 8228.63286, 250.40050
362, 8051.42223, 9572.68909, 8264.88808, 308.43988
363, 8051.42223, 25706.34964, 8474.47519, 1756.72449
364, 8051.42223, 128315.02489, 10137.00435, 13651.16760
365, 8051.42223, 9980.72525, 8232.86432, 292.57085
366, 8034.76260, 9537.70165, 8209.69008, 255.07582
367, 8034.76260, 102393.62209, 9190.58290, 9370.74770
368, 8034.76260, 9499.72479, 8254.71034, 281.05019
369, 8034.76260, 9097.73485, 8285.15259, 275.05752
370, 8034.76260, 173403.63415, 9899.71886, 16434.52591
371, 8034.76260, 9121.43120, 8236.96804, 252.60600
372, 8034.76260, 9683.18648, 8208.99762, 261.68430
373, 8034.76260, 115357.49981, 9294.77283, 10663.18429
374, 8034.18001, 9081.45116, 8197.58623, 244.85020
375, 8022.75902, 9448.87335, 8198.77748, 257.11876
376, 8022.75902, 100028.21520, 9165.25558, 9139.31219
377, 8022.75902, 9026.85702, 8163.27796, 194.85904
378, 7992.25474, 9036.36667, 8159.13854, 214.88858
379, 7989.02005, 175719.24222, 10204.23731, 16989.51638
380, 7992.25474, 9734.56118, 8214.48971, 307.89343
381, 7992.25474, 9256.32645, 8228.08256, 277.32864
382, 7991.67215, 9292.03990, 8187.93540, 246.59307
383, 7991.67215, 9817.32030, 8139.10794, 228.99709
384, 7991.67215, 9261.07680, 8129.35561, 260.35599
385, 7950.39233, 9247.68972, 8176.14027, 278.37143
386, 7991.67215, 9736.17352, 8240.16755, 315.61005
387, 7991.67215, 9227.23375, 8178.65815, 273.91835
388, 7919.46537, 9362.06741, 8168.61047, 253.23035
389, 7918.88278, 9589.83529, 8117.03900, 247.62770
390, 7918.88278, 9099.11826, 8137.28877, 250.23423
391, 7918.88278, 9213.81859, 8175.10732, 320.14836
392, 7918.88278, 9702.54898, 8148.76748, 306.80662
393, 7855.78531, 119452.17397, 9212.95116, 11081.35248
394, 7855.78531, 39034.50843, 8433.94054, 3085.98577
395, 7855.78531, 9221.94849, 8096.53400, 269.18705
396, 7855.78531, 35838.07752, 8374.39979, 2772.76918
397, 7855.78531, 8653.38610, 8079.41896, 206.40727
398, 7855.78531, 190558.81403, 9862.20317, 18161.95961
399, 7855.78531, 9405.59018, 8063.87962, 269.87638
400, 7855.78531, 42330.96626, 8667.58665, 4352.36221
401, 7855.78531, 9261.51447, 8014.55268, 237.54504
402, 7855.78531, 9333.40419, 8021.50907, 267.10174
403, 7855.78531, 9192.45012, 8038.06701, 277.17478
404, 7831.50789, 9014.95504, 8031.42309, 272.35999
405, 7831.50789, 8992.80446, 8044.80216, 284.21494
406, 7831.50789, 9195.01932, 8035.78241, 282.06320
407, 7831.50789, 8884.08132, 7982.82017, 193.74095
408, 7776.55229, 9022.20741, 8011.26040, 247.73411
409, 7776.55229, 9280.34190, 7985.93173, 240.42305
410, 7776.55229, 9201.62920, 8037.36910, 295.90159
411, 7776.55229, 9198.92971, 8025.89430, 288.37237
412, 7776.55229, 8857.28467, 8016.21974, 238.26262
413, 7776.55229, 9021.87647, 8047.19940, 283.38119
414, 7776.55229, 9572.71323, 8039.58022, 326.36327
415, 7723.00266, 8876.64808, 8022.84355, 266.48477
416, 7723.00266, 17630.46763, 8087.13146, 998.58926
417, 7723.00266, 9232.52664, 7954.73060, 270.90620
418, 7723.00266, 8986.66959, 7946.07219, 264.08394
419, 7723.00266, 9421.63690, 7937.79858, 277.35748
420, 7723.00266, 63209.35378, 8478.93322, 5508.02636
421, 7710.47111, 8952.44145, 7936.88119, 288.62951
422, 7710.47111, 9928.70185, 7912.30520, 321.16847
423, 7710.47111, 9235.34365, 7913.89159, 334.33977
424, 7710.47111, 8902.04493, 7898.42299, 263.67753
425, 7710.47111, 9053.41369, 7915.69276, 345.38257
426, 7710.47111, 9009.37213, 7899.17323, 292.08983
427, 7710.47111, 9093.05150, 7906.75128, 269.71612
428, 7710.47111, 45128.99888, 8339.86695, 3726.77452
429, 7710.47111, 117934.91950, 8979.83503, 10952.67009
430, 7710.47111, 8718.74017, 7825.47568, 204.25601
431, 7710.47111, 8808.68574, 7842.74722, 228.37525
432, 7689.27122, 9231.24530, 7850.17303, 250.07358
433, 7689.27122, 123987.57548, 9535.82006, 11977.36734
434, 7710.47111, 9296.16734, 7904.13207, 288.30794
435, 7710.47111, 9173.53899, 7929.20085, 335.79257
436, 7710.47111, 10088.45024, 7941.96812, 367.99339
437, 7691.69179, 8990.37664, 7877.39446, 241.91179
438, 7691.69179, 9292.01184, 7904.98496, 315.97811
